optimiser,folder_unf,folder_lr,folder_dropout,num_seeds,best_val_loss,best_val_loss_std,total_train_time_s,total_train_time_s_std,total_val_time_s,total_val_time_s_std,accuracy,accuracy_std,tn,tn_std,fp,fp_std,fn,fn_std,tp,tp_std,f1_score,f1_score_std
AdamW,2,0.005,0.15,10,0.39266,0.25919,165.665,79.6665,29.649,14.54301,0.76217,0.19877,119.8,105.58388,107.2,105.58388,9.1,9.94932,252.9,9.94932,0.83272,0.11986
AdamW,2,0.005,0.2,10,0.28451,0.21414,139.823,59.79567,24.978,10.97133,0.80225,0.2016,169.4,89.62787,57.6,89.62787,39.1,79.00415,222.9,79.00415,0.79147,0.29477
AdamW,2,0.005,0.25,10,0.28006,0.15018,118.829,64.31105,21.289,11.83584,0.74356,0.2114,159.6,85.82825,67.4,85.82825,58.0,107.64035,204.0,107.64035,0.68962,0.37446
SGD,0,0.0001,0.15,10,0.57648,0.00814,1319.185,509.78585,292.955,114.35694,0.80777,0.02458,151.6,9.16758,75.4,9.16758,18.6,6.20394,243.4,6.20394,0.83823,0.01975
SGD,0,0.0001,0.2,10,0.57542,0.00952,1319.531,510.08176,293.001,114.40527,0.81575,0.02313,153.7,10.65677,73.3,10.65677,16.8,6.42564,245.2,6.42564,0.8449,0.01787
SGD,0,0.0001,0.25,10,0.5795,0.01032,1320.568,509.13155,293.211,114.19825,0.80204,0.02784,148.4,10.4158,78.6,10.4158,18.2,6.21468,243.8,6.21468,0.8345,0.02189
SGD,0,0.0005,0.15,10,0.42059,0.01677,1204.797,477.57189,267.347,107.15378,0.87219,0.01312,186.5,6.0231,40.5,6.0231,22.0,5.16398,240.0,5.16398,0.88479,0.01162
SGD,0,0.0005,0.2,10,0.41833,0.01185,1320.246,509.20868,293.134,114.2636,0.87178,0.01283,187.1,5.82046,39.9,5.82046,22.8,5.26624,239.2,5.26624,0.88412,0.0115
SGD,0,0.0005,0.25,5,0.42049,0.01381,1223.428,529.09419,271.406,118.66427,0.86953,0.01427,186.0,5.33854,41.0,5.33854,22.8,3.96232,239.2,3.96232,0.88235,0.01258
SGD,0,0.005,0.15,10,0.32511,0.0186,564.513,210.21342,125.283,47.22371,0.89223,0.01374,194.6,5.37897,32.4,5.37897,20.3,3.16403,241.7,3.16403,0.90175,0.01204
SGD,0,0.005,0.2,10,0.32416,0.02254,551.73,247.42629,122.327,55.34739,0.89121,0.01449,194.3,6.2902,32.7,6.2902,20.5,3.97911,241.5,3.97911,0.90084,0.01266
SGD,0,0.005,0.25,10,0.32522,0.01989,599.327,250.98883,132.985,56.17534,0.89223,0.01475,194.8,6.28579,32.2,6.28579,20.5,3.71932,241.5,3.71932,0.90169,0.01286
SGD,1,0.0001,0.15,10,0.41226,0.04209,1457.986,560.91937,292.835,114.20341,0.85194,0.02121,180.9,7.37036,46.1,7.37036,26.3,7.08755,235.7,7.08755,0.86683,0.01901
SGD,1,0.0001,0.2,7,0.44706,0.04597,1686.95714,519.87212,339.39857,105.82302,0.84779,0.01125,179.42857,5.15937,47.57143,5.15937,26.85714,6.4402,235.14286,6.4402,0.86328,0.0111
SGD,1,0.0001,0.25,10,0.41257,0.05672,1459.832,560.30615,293.192,114.10312,0.84581,0.01948,179.4,9.83418,47.6,9.83418,27.8,7.42069,234.2,7.42069,0.86138,0.01681
SGD,1,0.0005,0.15,10,0.2028,0.0272,1324.804,503.34239,265.963,102.41685,0.92536,0.01209,202.7,5.45792,24.3,5.45792,12.2,3.35989,249.8,3.35989,0.93196,0.01062
SGD,1,0.0005,0.2,10,0.21188,0.02976,1168.958,506.10635,234.469,102.86461,0.91963,0.01304,205.4,3.86437,21.6,3.86437,17.7,4.29599,244.3,4.29599,0.92554,0.01215
SGD,1,0.005,0.15,10,0.16432,0.02382,433.043,201.02224,86.85,40.78146,0.93497,0.01156,208.2,4.6619,18.8,4.6619,13.0,4.10961,249.0,4.10961,0.93998,0.01054
SGD,1,0.005,0.2,10,0.16406,0.02951,514.636,258.40812,103.279,52.40384,0.93599,0.01374,208.3,5.37587,18.7,5.37587,12.6,3.74759,249.4,3.74759,0.94099,0.01246
SGD,1,0.005,0.25,10,0.16294,0.02397,440.737,230.22491,88.341,46.65735,0.93701,0.01019,209.2,4.15799,17.8,4.15799,13.0,3.65148,249.0,3.65148,0.94176,0.00936
SGD,2,0.0001,0.15,10,0.27506,0.03907,1493.626,605.1402,271.209,111.938,0.89877,0.02195,196.8,10.88118,30.2,10.88118,19.3,4.66786,242.7,4.66786,0.9077,0.01815
SGD,2,0.0001,0.2,10,0.2967,0.04909,1494.104,604.76877,271.343,111.82804,0.88139,0.02971,187.4,16.47355,39.6,16.47355,18.4,4.71876,243.6,4.71876,0.89424,0.02318
SGD,2,0.0001,0.25,10,0.2578,0.03997,1609.69,613.8164,292.497,113.30462,0.90798,0.02065,199.6,10.51137,27.4,10.51137,17.6,4.22164,244.4,4.22164,0.91594,0.01715
SGD,2,0.0005,0.15,10,0.18421,0.04176,1137.868,587.95397,206.651,108.07743,0.93231,0.01507,206.1,6.26188,20.9,6.26188,12.2,3.8239,249.8,3.8239,0.93793,0.01346
SGD,2,0.0005,0.2,10,0.1774,0.04022,1306.015,524.60226,237.411,96.74879,0.93661,0.01681,207.3,5.85093,19.7,5.85093,11.3,3.59166,250.7,3.59166,0.94183,0.01508
SGD,2,0.005,0.15,10,0.15741,0.02762,348.918,139.77743,63.241,25.83873,0.93906,0.01184,208.5,4.74342,18.5,4.74342,11.3,3.83116,250.7,3.83116,0.94392,0.01074
SGD,2,0.005,0.2,10,0.15385,0.02364,376.865,146.37892,68.486,27.00646,0.93988,0.01162,209.8,4.28952,17.2,4.28952,12.2,3.48967,249.8,3.48967,0.94444,0.01061
SGD,2,0.005,0.25,10,0.16111,0.03213,315.344,194.10036,57.12,35.67829,0.93865,0.01227,209.8,4.26354,17.2,4.26354,12.8,3.04777,249.2,3.04777,0.94325,0.01114
